category,room_count,bathroom_count,size,type,price,city,region
Maisons et Villas,2.0,1.0,90.0,À Louer,250.0,Ariana,Raoued
Appartements,3.0,1.0,110.0,À Louer,790.0,Ariana,La Soukra
Appartements,2.0,1.0,100.0,À Louer,400.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,2820150.0,Ariana,Raoued
Bureaux et Plateaux,2.0,1.0,90.0,À Louer,900.0,Ariana,Ennasr
Maisons et Villas,3.0,1.0,130.0,À Louer,370.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,800000.0,Ariana,
Appartements,4.0,2.0,180.0,À Louer,1200.0,Ariana,Ariana
Maisons et Villas,6.0,3.0,350.0,À Louer,2850.0,Ariana,Ariana
Appartements,2.0,1.0,52.0,À Vendre,85000.0,Ariana,Ariana
Appartements,3.0,2.0,120.0,À Vendre,245000.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,249000.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,190000.0,Ariana,Ariana
Appartements,3.0,2.0,153.0,À Vendre,339000.0,Ariana,Ariana
Appartements,2.0,1.0,115.0,À Vendre,168000.0,Ariana,Ghazela
Maisons et Villas,3.0,2.0,609.0,À Vendre,540000.0,Ariana,Ariana
Maisons et Villas,3.0,2.0,161.0,À Vendre,370000.0,Ariana,Ariana
Appartements,3.0,1.0,100.0,À Vendre,125000.0,Ariana,Raoued
Appartements,2.0,1.0,70.0,À Vendre,230000.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,230000.0,Ariana,Ariana
Maisons et Villas,3.0,4.0,1078.0,À Vendre,1700000.0,Ariana,Ariana
Bureaux et Plateaux,1.0,1.0,60.0,À Vendre,160000.0,Ariana,Ariana
Bureaux et Plateaux,3.0,1.0,131.0,À Louer,2500.0,Ariana,Ghazela
Appartements,3.0,2.0,125.0,À Vendre,210000.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,120000.0,Ariana,Ghazela
Bureaux et Plateaux,2.0,1.0,100.0,À Louer,1600.0,Ariana,Ghazela
Maisons et Villas,3.0,2.0,400.0,À Vendre,650000.0,Ariana,Ghazela
Maisons et Villas,4.0,2.0,410.0,À Vendre,530000.0,Ariana,Ghazela
Appartements,2.0,1.0,65.0,À Louer,600.0,Ariana,Ariana
Maisons et Villas,4.0,2.0,120.0,À Vendre,175000.0,Ariana,Ghazela
Appartements,3.0,2.0,150.0,À Louer,550.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,530000.0,Ariana,Jardins D'el Menzah
Appartements,3.0,1.0,80.0,À Louer,800.0,Ariana,Ennasr
Appartements,2.0,1.0,60.0,À Louer,650.0,Ariana,Ennasr
Appartements,4.0,2.0,157.0,À Vendre,441000.0,Ariana,Ennasr
Appartements,3.0,2.0,187.0,À Vendre,570000.0,Ariana,La Soukra
Appartements,1.0,1.0,57.0,À Vendre,145000.0,Ariana,Jardins D'el Menzah
Locations de vacances,1.0,1.0,60.0,À Louer,70.0,Ariana,Ennasr
Maisons et Villas,5.0,3.0,327.0,À Vendre,840000.0,Ariana,La Soukra
Maisons et Villas,3.0,1.0,155.0,À Louer,465.0,Ariana,Mnihla
Appartements,2.0,1.0,95.0,À Louer,90.0,Ariana,Autres villes
Appartements,2.0,1.0,95.0,À Louer,90.0,Ariana,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,1.0,750.0,À Vendre,650000.0,Ariana,Mnihla
Appartements,1.0,1.0,50.0,À Louer,650.0,Ariana,Ennasr
"Magasins, Commerces et Locaux industriels",2.0,1.0,40.0,À Vendre,82000.0,Ariana,La Soukra
Appartements,1.0,1.0,80.0,À Louer,90.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,480000.0,Ariana,Chotrana
Appartements,3.0,1.0,130.0,À Louer,650.0,Ariana,Mnihla
Appartements,3.0,1.0,105.0,À Louer,750.0,Ariana,Ghazela
Appartements,2.0,2.0,126.0,À Vendre,330000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,5.0,3.0,220.0,À Vendre,480000.0,Ariana,Ghazela
Appartements,3.0,1.0,150.0,À Louer,650.0,Ariana,La Soukra
Appartements,3.0,2.0,163.0,À Vendre,340000.0,Ariana,Ennasr
Appartements,1.0,1.0,70.0,À Louer,280.0,Ariana,Autres villes
Appartements,2.0,1.0,90.0,À Louer,750.0,Ariana,Ariana
Maisons et Villas,4.0,1.0,100.0,À Louer,530.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,180000.0,Ariana,
Appartements,4.0,1.0,110.0,À Louer,600.0,Ariana,Ariana
Appartements,2.0,1.0,105.0,À Vendre,220000.0,Ariana,Ennasr
Appartements,4.0,1.0,153.0,À Vendre,360000.0,Ariana,Ariana
Appartements,3.0,2.0,200.0,À Louer,2300.0,Ariana,Ennasr
Appartements,2.0,1.0,120.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah
"Magasins, Commerces et Locaux industriels",2.0,1.0,160.0,À Louer,800.0,Ariana,La Soukra
Appartements,2.0,2.0,140.0,À Louer,1250.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,200000.0,Ariana,Raoued
Appartements,2.0,1.0,110.0,À Louer,1100.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,180000.0,Ariana,Raoued
Appartements,2.0,2.0,150.0,À Louer,1500.0,Ariana,Ennasr
Appartements,3.0,1.0,85.0,À Louer,330.0,Ariana,Raoued
Maisons et Villas,5.0,4.0,380.0,À Vendre,760000.0,Ariana,La Soukra
"Magasins, Commerces et Locaux industriels",1.0,1.0,200.0,À Louer,1400.0,Ariana,La Soukra
Appartements,3.0,2.0,135.0,À Louer,900.0,Ariana,La Soukra
Appartements,2.0,1.0,100.0,À Vendre,90000.0,Ariana,Borj Louzir
Appartements,3.0,2.0,140.0,À Vendre,290000.0,Ariana,La Soukra
Appartements,3.0,2.0,130.0,À Louer,1400.0,Ariana,La Soukra
Appartements,4.0,2.0,170.0,À Vendre,295000.0,Ariana,Ennasr
Appartements,3.0,1.0,76.0,À Vendre,120000.0,Ariana,Ariana
Maisons et Villas,5.0,3.0,686.0,À Vendre,750000.0,Ariana,Ariana
Appartements,3.0,1.0,160.0,À Vendre,310000.0,Ariana,Ennasr
Appartements,4.0,1.0,130.0,À Vendre,95000.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,45000.0,Ariana,Autres villes
Appartements,1.0,1.0,66.0,À Louer,650.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,36.0,À Louer,400.0,Ariana,Ariana Ville
Appartements,2.0,2.0,100.0,À Vendre,310000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,270000.0,Ariana,Mnihla
Maisons et Villas,5.0,2.0,350.0,À Vendre,310000.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,70.0,À Louer,830.0,Ariana,Jardins D'el Menzah
Appartements,2.0,1.0,72.0,À Vendre,160000.0,Ariana,Chotrana
Appartements,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Locations de vacances,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Locations de vacances,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Locations de vacances,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,470000.0,Ariana,Ariana Ville
